Titre source;Exemples cités;Date_stat;Type;Date;Citations
De la puissance légitime (1581); Joas fait alliance avec Dieu et Joiada;-835; Antiquité biblique; Antiquité;" ""Quand le Roy **Joas** fut couronné, nous lisons qu'alliance fut contractee entre Dieu, le Roy & le peuple: ou... entre **Joiada** souverain Sacrificateur [14, 15]"""
De la puissance légitime (1581); Osee décrit le péché des princes;-750; Antiquité biblique; Antiquité;" ""il me souvient de ce que dit le Prophete **Osee**, Les Princes de Juda ont esté comme ceux qui transposent la borne [5, 6]"""
De la puissance légitime (1581); Michee maudit ceux qui obéissent aux ordonnances;-735; Antiquité biblique; Antiquité;" ""malediction du Prophete **Michee**, qui deteste & maudit au nom de Dieu tous ceux qui obeissent aux meschantes ordonnances [33]"""
De la puissance légitime (1581); Josias fait alliance avec Dieu;-622; Antiquité biblique; Antiquité;" ""De mesme lisons nous que **Josias** & tout son peuple firent alliance avec Dieu [15]"""
De la puissance légitime (1581); Jehoiakim fait tuer le prophète Vrie;-609; Antiquité biblique; Antiquité;" ""fait du Roy **Jehoiakim** qui... avoit fait tuer le Prophete **Vrie** [47]"""
De la puissance légitime (1581); Sidrac, Misach et Abednago refusent l'obéissance;-594; Antiquité biblique; Antiquité;" ""**Sidrac**, **Misach** & **Abednago** refusent d'obeir à Nebuchadnezar [31]"""
De la puissance légitime (1581); Sedechias craint le conseil des anciens;-588; Antiquité biblique; Antiquité;" ""**Sedechias** eut en telle reverence l'autorité de ce conseil... n'osa pas mesme le faire changer [47]"""
De la puissance légitime (1581); Nebuchadnesar reconnaît le Dieu de Daniel;-570; Antiquité biblique; Antiquité;" ""**Nebuchadnesar**... a finalement reconu cela: car comme **Daniel** l'appellast Roy des rois... ton Dieu, ô Daniel, est vrayement le Dieu des dieux [10]"""
De la puissance légitime (1581); Belsasar abuse des vaisseaux du Temple;-539; Antiquité biblique; Antiquité;" ""son fils **Belsasar** abuse des vaisseaux sacrez du Temple de Jerusalem [26]"""
De la puissance légitime (1581); Esdras et Nehemie disposent le temple;-445; Antiquité biblique; Antiquité;" ""Si quelqu'un, à l'exemple d'**Esdras** ou **Nehemie**, se dispose pour bastir le temple du Seigneur, on dira qu'il aspire à la couronne [7]"""
De la puissance légitime (1581); Eleazar résiste à Antiochus;-167; Antiquité biblique; IIe siècle av. J.-C.;" ""Daniel à Darius, **Eleazar** à Antiochus, & infinis autres [31]"""
De la puissance légitime (1581); Mathathias tue un Juif à Modin;-167; Antiquité biblique; IIe siècle av. J.-C.;" ""**Mathathias**... tue de sa propre main le Juif qui contraignoit ses citoyens de sacrifier aux idoles [37]"""
De la puissance légitime (1581); Herodes veut faire mourir Jesus Christ;-4; Antiquité biblique; Ier siècle;" ""**Herodes** redoutant **Jesus Christ**, le regne duquel il devoit avancer, & voulant le faire mourir [25]"""
De la puissance légitime (1581); Jesus Christ subit des calomnies;30; Antiquité biblique; Ier siècle;" ""**Jesus Christ**, les Apostres, tous les Chrestiens de la primitive Eglise estoyent chargez de telles calomnies [7]"""
De la puissance légitime (1581); Theudas et Barcozba guident le peuple;89; Antiquité biblique; Ier siècle;" ""ne soit guidé par un imposteur... en l'armee de quelque **Theudas** Galileen ou de **Barcozba** [43, 44]"""
De la puissance légitime (1581); Ephraim souffre injure par le commandement;je ne sais pas; Antiquité biblique; Antiquité;" ""**Ephraim** souffre injure & est cassé en jugement, pour ce qu'il a commencé d'aller apres le commandement mauvais [6]"""
De la puissance légitime (1581); Vrie témoigne de son service à l'armée;je ne sais pas; Antiquité biblique; Antiquité;" ""Pourtant **Vrie** parloit en vray serviteur de Dieu... quand il disoit, l'Arche du Seigneur... sont és tentes [24]"""
De la puissance légitime (1581); Lycurgus s'assujettit le premier aux loix;-800; Antiquité classique; Antiquité;" ""**Lycurgus** Legislateur des Lacedemoniens... il ne fit loy quelconque pour les autres, à laquelle il ne s'assujettist le premier [2, 3]"""
De la puissance légitime (1581); Homère appelle les rois juges des villes;-750; Antiquité classique; Antiquité;" ""quand le poete **Homere** appelle les Rois juges des villes, & en descrivant **Agamemnon**, il le nomme sage, fort, & vaillant [3]"""
De la puissance légitime (1581); Theopompus institue les Ephores;-720; Antiquité classique; VIIIe siècle av. J.-C.;" ""dire de **Theopompus** Roy de Sparte, apres que les **Ephores**... eurent esté instituez [52]"""
De la puissance légitime (1581); Deioces est élu juge par les Medes;-700; Antiquité classique; VIIIe siècle av. J.-C.;" ""Ciceron dit qu'entre les **Medes** **Deioces** se meslant d'appointer les debats de quelques voisins & amis particuliers fut esleu juge, & Roy finalement [1]"""
De la puissance légitime (1581); Horatius est absous par le peuple;-670; Antiquité classique; VIIe siècle av. J.-C.;" ""l'histoire d'**Horatius** condamné par les juges Royaux, pour avoir tué sa sœur, & absous par le peuple [48]"""
De la puissance légitime (1581); Arbactus tue Sardanapale;-612; Antiquité classique; Antiquité;" ""**Arbactus** gouverneur de Mede tue **Sardanapale** filant entre les femmes [69]"""
De la puissance légitime (1581); Solon compare les lois à la monnaie;-590; Antiquité classique; VIe siècle av. J.-C.;" ""Le Legislateur **Solon** souloit comparer les loix à la monnoye, pour ce qu'elles maintienent la societé humaine [9]"""
De la puissance légitime (1581); Cyrus sacrifie à Dieu à son couronnement;-559; Antiquité classique; VIe siècle av. J.-C.;" ""Pour ceste cause Xenophon dit, qu'au couronnement de **Cyrus** on sacrifia à Dieu [10, 11]"""
De la puissance légitime (1581); Cambyses approuve le mariage avec sa sœur;-524; Antiquité classique; VIe siècle av. J.-C.;" ""pour ce que **Cambyses** fils de Cyrus estoit amoureux de sa propre sœur, il voulut que les mariages des freres avec leurs sœurs fussent aprouvez [4]"""
De la puissance légitime (1581); Tarquinius Superbus est estimé tyran à Rome;-509; Antiquité classique; VIe siècle av. J.-C.;" ""**Tarquinius Superbus** a esté estimé tyran, pour ce que n'ayant esté creé du peuple, ni du Senat, il occupoit la Royauté en vertu de ses moyens [2]"""
De la puissance légitime (1581); Archidamus désigne les lois comme gouverneurs de Sparte;-450; Antiquité classique; IVe siècle av. J.-C.;" ""**Archidamus** fils de Zeuxidamus, enquis qui estoyent les gouverneurs de la ville de Sparte? Les loix, & les Magistrats [8]"""
De la puissance légitime (1581); Thrasymachus définit la loi par le profit des princes;-430; Antiquité classique; Ve siècle av. J.-C.;" ""n'aprouverons nullement ce que disoit **Thrasymachus Chalcedonien**, que le profit & le plaisir des Princes est la reigle & definition de toutes loix [7]"""
De la puissance légitime (1581); Clearchus et Anaxilaus s'opposent à Byzance;-409; Antiquité classique; IVe siècle av. J.-C.;" ""establi rent chef & gouverneur **Clearchus**... **Anaxilaus** l'un des principaux de la ville... entre en communication avec Alcibiades [18]"""
De la puissance légitime (1581); Alexandre le Grand prend plaisir aux mensonges;-329; Antiquité classique; IVe siècle av. J.-C.;" ""**Alexandre le grand** prenoit plaisir aux mensonges des flatteurs qui l'apelloyent fils de Jupiter [26]"""
De la puissance légitime (1581); Anaxarchus console Alexandre pour la mort de Clitus;-328; Antiquité classique; IVe siècle av. J.-C.;" ""dirons pas ce qu'**Anaxarchus** disoit à **Alexandre** fort angoissé de la mort de son ami **Clitus**, lequel il avoit tué de sa propre main [6]"""
De la puissance légitime (1581); Herdonius Sabinus et Spartacus prennent les armes;-267; Antiquité classique; Ier siècle av. J.-C.;" ""Sera-il permis à un **Herdonius Sabinus**, à **Eunus Surianus**, ou à un tel maistre d'espee que **Spartacus**, brief à un particulier de presenter le bonnet [19]"""
De la puissance légitime (1581); Livius Salinator invente le péage du sel;-204; Antiquité classique; IIIe siècle av. J.-C.;" ""premier inventeur de ce peage à Rome, a savoir le Censeur **Livius**, qui en fut surnommé **Salinator** [61]"""
De la puissance légitime (1581); Antiochus commande d'obéir à ses loix;-167; Antiquité classique; IIe siècle av. J.-C.;" ""**Antiochus**... commande à tous de laisser les Loix de Dieu, & d'obeir aux sienes [27]"""
De la puissance légitime (1581); Durionius s'oppose à la loi contre les excès;-134; Antiquité classique; IIe siècle av. J.-C.;" ""un certain **Durionius**, Tribun du peuple, s'opposant à la loy faite contre les exces qui avoyent la vogue à Rome [5]"""
De la puissance légitime (1581); Ambiorix et Vercingentorix parlent devant l'assemblée;-53; Antiquité classique; Ier siècle av. J.-C.;" ""**Ambiorix**, Roy des Eburons... **Vercingentorix**, lequel rend raison de son fait devant l'assemblee [50, 51]"""
De la puissance légitime (1581); Ovide cite Erichtheus pour ses vertus;8; Antiquité classique; Antiquité;" ""comme aussi **Ovide** dit d'**Erichtheus**, qu'on n'eust sçeu dire laquelle des deux vertus reluisoit davantage en luy, ou la justice ou la promesse [3]"""
De la puissance légitime (1581); Vitellius est mutilé par sentence;69; Antiquité classique; 69;" ""la sentence, en vertu de laquelle **Vitellius** fut ignominieusement mutilé, pourmené en miserable estat par la ville [521/591]"""
De la puissance légitime (1581); Domitian veut être appelé Dieu;89; Antiquité classique; Ier siècle;" ""propos est digne de cest execrable **Domitian**, lequel (comme recite Suetone) voulut estre apellé Dieu & Seigneur [12, 13]"""
De la puissance légitime (1581); Martial appelle les édits du nom de Dieu;94; Antiquité classique; Ier siècle;" ""au poete **Martial**, qui n'a point de honte d'apeller les edits de Domitian, les edits du Seigneur Dieu [12]"""
De la puissance légitime (1581); Adrian relègue un père meurtrier;128; Antiquité classique; IIe siècle;" ""l'Empereur **Adrian** relegua en une isle un pere qui avoit tué son fils à la chasse [56]"""
De la puissance légitime (1581); Agrippine et Mammea gouvernent l'Empire;158; Antiquité classique; Ier-IIIe siècle;" ""**Agrippine**, de l'Empire Romain du temps de son fils Neron: **Mammea**, sous Alexandre Severe [15]"""
De la puissance légitime (1581); Papinian refuse d'obéir à Caracalla;212; Antiquité classique; IIIe siècle;" ""jurisconsulte **Papinian**, qui reprendra en face **Caracalla**, aimera mieux mourir qu'obeir [28]"""
De la puissance légitime (1581); Semiamire gouverne sous Heliogabale;220; Antiquité classique; IIIe siècle;" ""**Semiamire**, sous Heliogabale: & quelques Brunechildes du Royaume de France [15]"""
De la puissance légitime (1581); Maximinus est jugé ennemi par le Senat;237; Antiquité classique; IIIe siècle;" ""par arrest du Senat l'Empereur **Maximin** fut jugé ennemi de la Republique [48]"""
De la puissance légitime (1581); Maximus et Albinus sont créés empereurs;238; Antiquité classique; IIIe siècle;" ""**Maximus** & **Albinus** eurent esté creez Empereurs par le Senat [49]"""
De la puissance légitime (1581); Maurice est général de la légion de Thebes;286; Antiquité classique; IIIe siècle;" ""celle de Thebes, de laquelle sainct **Maurice** estoit general, qui souffrit mort [45]"""
De la puissance légitime (1581); Licinius subit la guerre de Constantin;324; Antiquité classique; IVe siècle;" ""**Constantin** assaillit en guerre ouverte **Licinius**, lequel bannissoit, tourmentoit & saccageoit les chrestiens [21]"""
De la puissance légitime (1581); Denis devient pédante à Corinthe;-343; Antiquité classique; IVe siècle av. J.-C.;" ""contraint de devenir pedante, & fouëtter les petis enfans... comme il avint au jeune **Denis** tyran de Sicile [46]"""
De la puissance légitime (1581); Constans menace Constantius pour Athanase;346; Antiquité classique; IVe siècle;" ""**Constans** favorisoit aux Chrestiens, **Constantius** qui estoit l'aisné, soustenoit les Arians [22]"""
De la puissance légitime (1581); Julian l'Apostat abandonne Jesus Christ;361; Antiquité classique; IVe siècle;" ""**Julian l'Apostat** abandonne Jesus Christ pour adherer à l'idolatrie & impieté des Payens [25]"""
De la puissance légitime (1581); Valentinian permet d'avoir deux femmes;370; Antiquité classique; IVe siècle;" ""nous voyons **Valentinian**, autre ment bon Empereur, permettre à tous ceux de l'Empire d'avoir deux femmes à la fois [4]"""
De la puissance légitime (1581); Ambroise refuse le temple à Valentinian;386; Antiquité classique; IVe siècle;" ""Que fit sainct **Ambroise**, lors que l'Empereur **Valentinian** luy commanda de bailler le temple de Milan aux Arians [32]"""
De la puissance légitime (1581); Atticus persuade Théodose de secourir les chrétiens;408; Antiquité classique; Ve siècle;" ""à la persuasion de l'Evesque **Atticus**, **Theodose** fit la guerre à **Cosroës** Roy de Perse, pour delivrer les Chrestiens [23]"""
De la puissance légitime (1581); Theodose et Valentinian déclarent le prince lié aux loix;429; Antiquité classique; Ve siècle;" ""Les Empereurs **Theodose** & **Valentinian**... C'est une chose bien seante à la Majesté d'un qui domine sur les autres, de declairer qu'il est Prince lié aux loix [1]"""
De la puissance légitime (1581); Chabades abolit le châtiment des adultères;510; Antiquité classique; VIe siècle;" ""**Chabades** Roy des Perses abolit le chastiment des adulteres. Il faudra attendre tous les jours de telles loix [4]"""
De la puissance légitime (1581); Lycurgus voit les salines tarir;je ne sais pas; Antiquité classique; Antiquité;" ""Un Roy nommé **Lycurgus** en la petite Asie, ayant commencé a mettre imposts sur les salines... elles tarirent [60]"""
De la puissance légitime (1581); Polycrates ne laisse point les Samiens en repos;je ne sais pas; Antiquité classique; VIe siècle av. J.-C.;" ""fortifie des places à la façon de Pharao & de **Polycrates**, qui ne vouloyent laisser en repos les Juifs & **Samiens** [16]"""
De la puissance légitime (1581); Porsena ramène Tarquinius à Rome;je ne sais pas; Antiquité classique; VIe siècle av. J.-C.;" ""Si **Porsena** remeine à Rome **Tarquinius Superbus**, Constantin appellé par le peuple [26]"""
De la puissance légitime (1581); Maximilian d'Austriche possède un revenu particulier;1493; Contemporain à l'auteur; XVIe siècle;" ""autre est le revenu de **Maximilian d'Austriche**, & autre le revenu de l'Empereur Maximilian [58]"""
De la puissance légitime (1581); Machiavel donne des conseils pernicieux;1513; Contemporain à l'auteur; XVIe siècle;" ""contraires aux mauvaises pratiques, conseils pernicieux, fausses & pestiferes maximes de Nicolas **Machiavel** Florentin [4]"""
De la puissance légitime (1581); Selim possède des jardins patrimoniaux;1515; Contemporain à l'auteur; XVIe siècle;" ""entre les Turcs, les jardins & fonds de terre patrimoniaux de **Selim** sont autres [59]"""
De la puissance légitime (1581); Christienne perd la couronne de Dannemarch;1523; Contemporain à l'auteur; XVIe siècle;" ""Il n'y a pas long temps que **Christienne** a perdu la couronne de Dannemarch [68]"""
De la puissance légitime (1581); François Ier et Charles Cinquième font l'accord de Madric;1526; Contemporain à l'auteur; 1526;" ""l'accord fait à Madric entre **François premier** lors prisonnier, & **Charles cinquiesme** [65]"""
De la puissance légitime (1581); Henri huitiesme secours les Allemands;1546; Contemporain à l'auteur; XVIe siècle;" ""comme aussi **Henri huitiesme**, Roy d'Angleterre se monstra prest de secourir les **Alemans** [20]"""
De la puissance légitime (1581); Henri II accuse un étranger;1547; Contemporain à l'auteur; XVIe siècle;" ""avenu du temps de **Henri second** en la personne d'un quidam estranger, accusé d'un grand forfait [54]"""
De la puissance légitime (1581); Marie Stuard perd la couronne d'Escosse;1567; Contemporain à l'auteur; XVIe siècle;" ""**Marie Stuard** celle d'Escosse... les histoires dignes de foy tesmoignent [68]"""
De la puissance légitime (1581); Henri d'Anjou jure de maintenir les religions;1573; Contemporain à l'auteur; 1573;" ""ceremonies observees... en l'election & couronnement de **Henri Duc d'Anjou** [66]"""
De la puissance légitime (1581); Popiel s'efforce de rendre le royaume héréditaire;843; Haut Moyen Âge; IXe siècle;" ""que **Popiel** s'efforce par trahisons & meurtres execrables rendre hereditaire un Royaume de Pologne electif [511/539]"""
De la puissance légitime (1581); Childebert fonde l'Abbaye de S. Vincent;558; Haut Moyen Âge; VIe siècle;" ""tesmoin le Roy **Childebert**, qui n'osa fonder l'**Abbaye de S. Vincent** à Paris, sans le consentement des François [13]"""
De la puissance légitime (1581); Protade est le compagnon de Brunechilde;605; Haut Moyen Âge; VIIe siècle;" ""quelque Brunechilde tire à soy & à son **Protade** tout le gouvernement de France [539/514]"""
De la puissance légitime (1581); Clovis second observe le consentement des États;626; Haut Moyen Âge; VIIe siècle;" ""**Clovis second** & autres Rois ont observé le mesme. Ils ne peuvent pas mesme quitter le droit de regales [13]"""
De la puissance légitime (1581); Childeric et Sigebert sont chassés du trône;682; Haut Moyen Âge; Ve-VIe siècle;" ""François... chasserent du throne Royal **Childeric premier**, **Sigebert**, Theodoric [67]"""
De la puissance légitime (1581); Loys le Debonnaire ordonne la réparation des ponts;819; Haut Moyen Âge; IXe siècle;" ""l'ordonnance de **Loys le Debonnaire**, touchant les douze ponts sur la riviere de Seine, & commandant que les bacs à passer l'eau fussent tousjours prests [11]"""
De la puissance légitime (1581); Judith est une femme méchante;830; Haut Moyen Âge; IXe siècle;" ""contre le Chauve & contre sa mere nommee **Judith**, l'une des plus meschantes femmes [71]"""
De la puissance légitime (1581); Charles le Chauve fait mourir Lambert et Iamaetius;869; Haut Moyen Âge; IXe siècle;" ""**Charles le Chauve**... fait tyranniquement mourir le gouverneur... avec le Duc **Lambert**, & un Seigneur nommé **Iamætius** [71]"""
De la puissance légitime (1581); Malcolme épuise le domaine en Escosse;1050; Moyen Âge tardif; XIe siècle;" ""que **Malcolme** Roy d'**Escosse** espuise le domaine & les finances: que s'ensuivra-il de tout cela? [10]"""
De la puissance légitime (1581); Thomas d'Aquin traite de la domination tyrannique;1265; Moyen Âge tardif; XIIIe siècle;" ""par quoy, dit **Thomas d'Aquin**, d'autant que la domination tyrannique ne se rãge point à procurer le bien public... elle n'est plus juste [17]"""
De la puissance légitime (1581); Boniface VIII et Philippe le Bel disputent des régales;1302; Moyen Âge tardif; XIVe siècle;" ""le Pape **Boniface** huitiesme se vouloit aproprier les Regales... **Philippe le Bel**, lors Roy, le tança [39]"""
De la puissance légitime (1581); Philippe le Long obtient l'impôt du sel;1318; Moyen Âge tardif; 1318;" ""le Roy **Philippe le Long** obtint en France l'impost du sel pour cinq ans seulement [12]"""
De la puissance légitime (1581); Jeanne de Bourgongne dispute les acquêts;1330; Moyen Âge tardif; XIVe siècle;" ""jugé en France entre Philippe de Valois & **Jeanne de Bourgongne** sa femme [62]"""
De la puissance légitime (1581); Bartole affirme que les sujets sont frères;1350; Moyen Âge tardif; XIVe siècle;" ""**Bartole**, jurisconsulte renommé... a tiré une conclusion... que les sujets ne sont point esclaves des Rois, ains freres [55]"""
De la puissance légitime (1581); Charles IV engage les droits de l'Empire;1360; Moyen Âge tardif; XIVe siècle;" ""lors que **Charles quatriesme** promit à chascun des Electeurs cent mille escus... il leur bailla pour gages les gabelles [63]"""
De la puissance légitime (1581); Benoist XIII est délaissé par Charles VI;1408; Moyen Âge tardif; XVe siècle;" ""le Pape **Benoist** treziesme grevast l'Eglise Gallicane... le Clergé convoqué par le Roy **Charles sixiesme**, arresta Que le Roy... ne devoyent point obeir [40]"""
De la puissance légitime (1581); Henri d'Angleterre reçoit la donation de Charles;1420; Moyen Âge tardif; XVe siècle;" ""la donation faite du Royaume de France, par **Charles** sixiesme à **Henri d'Angleterre**, en cas de mort [14]"""
De la puissance légitime (1581); Tancred du Chastel perd des places;1420; Moyen Âge tardif; XVe siècle;" ""osta-on aux heritiers de **Tancred du Chastel**, son grand mignon plusieurs places [64]"""
De la puissance légitime (1581); Charles de Bourgongne obtient des villes par le traité de Conflans;1465; Moyen Âge tardif; 1465;" ""le Parlement de Paris cassa le traité de **Conflans**, par lequel le Duc **Charles de Bourgongne** avoit tiré des mains du Roy Amiens & autres villes [14]"""
De la puissance légitime (1581); Ajax et Athamas tuent leurs proches;je ne sais pas; Mythologie; Antiquité;" ""l'envie, la haine, la fureur avoir tellement transporté **Athamas** & **Ajax**, que l'un tua ses enfans, l'autre... compagnons [53]"""
De la puissance légitime (1581); Procrustes et Busyris sont domptés par Hercules;je ne sais pas; Mythologie; Antiquité;" ""**Hercules**... chastia & dompta **Procrustes**, **Busyris** & autres tyrans [70]"""
Discours politiques (1578); Moysé expose la création de l'aide;-4004; Antiquité biblique; Antiquité;" ""Ce qui sert de claire exposition aux parolles de **Moysé**, quand il dit que Dieu crea une aide à l'homme [6]"""
Discours politiques (1578); Serpent montre son inégalité en finesse;-4004; Antiquité biblique; Antiquité;" ""On void en l'escriture que le **serpent** estoit le plus cauteleux entre les animaux [3]"""
Discours politiques (1578); Adam est constitué seigneur des créatures;-4000; Antiquité biblique; Antiquité;" ""je respond qu'**Adam** a esté constitué seigneur de toutes creatures vivantes sur la terre [4]"""
Discours politiques (1578); Cain édifie une cité et règne;-3875; Antiquité biblique; Antiquité;" ""je dy donc que **Cain** exerça la puissance civile, car il edifia une cité [14]"""
Discours politiques (1578); Seth possède une race redoutée;-3874; Antiquité biblique; Antiquité;" ""s'asseurer des siens contre ceux de la race de **Seth** qu'il redoutoit [17]"""
Discours politiques (1578); Jabel et Jubal inventent des arts;-3500; Antiquité biblique; Antiquité;" ""**Jabel** fils de Lamech fut pere... des habitans des tentes: **Jubal** son frere fut auteur de musique [18]"""
Discours politiques (1578); Thubalcain inventa l'art de forger;-3500; Antiquité biblique; Antiquité;" ""**Thubalcain** son autre frere inventa l'art de forger [18]"""
Discours politiques (1578); Enoc utilise la puissance ecclésiastique;-3382; Antiquité biblique; Antiquité;" ""la puissance ecclesiastique, de laquelle **Enoc** & autres ont usé [13]"""
Discours politiques (1578); Gaidad et Manichel règnent après Enoc;-3300; Antiquité biblique; Antiquité;" ""Enoc qui regna apres, & depuis **Gaidad** fils d'Enoc, puis **Manichel** fils de Gaidad [15]"""
Discours politiques (1578); Mathusael et Lamech succèdent au royaume;-3300; Antiquité biblique; Antiquité;" ""l'autre **Mathusael** lequel regna apres son pere... un autre nommé **Lamech**, lequel Lamech regna [16]"""
Discours politiques (1578); Sem et Japhet usent de l'autorité économique;-2348; Antiquité biblique; Antiquité;" ""que **Sem**, Cham & **Japhet** n'ont usé d'autre autorité que de l'economique [13]"""
Discours politiques (1578); Noé maudit Cham et Chanaam;-2347; Antiquité biblique; Antiquité;" ""demonstrée que quand **Noé** maudit **Cham**... par la servitude imposee à **Chanaam** [12]"""
Discours politiques (1578); Nembroth est le premier auteur des royaumes;-2247; Antiquité biblique; Antiquité;" ""long temps apres les royaumes ont esté establis, dont **Nembroth** fut le premier auteur [12]"""
Discours politiques (1578); Pharaon et Abimelech reçoivent des menaces;-1909; Antiquité biblique; Antiquité;" ""donné à entendre à **Pharaon** & **Abimelech** qu'ils pecheroyent s'ils prenoyent la femme d'Abraham [20]"""
Discours politiques (1578); Juda condamne Thamat au feu;-1729; Antiquité biblique; Antiquité;" ""l'on void qu'il n'y a rien escrit... toutefois **Juda** condamne soudain **Thamat** sa belle fille au feu [19]"""
Discours politiques (1578); Dathan et Choré font une sédition;-1490; Antiquité biblique; Antiquité;" ""portion d'heritage de leur pere mort en la sedition de **Dathan** & de **Choré** [58]"""
Discours politiques (1578); Jethro conseille l'élection des anciens;-1490; Antiquité biblique; Antiquité;" ""comme **lethro** conseilla à Moyse d'eslire des anciens [31]"""
Discours politiques (1578); Salphaad laisse sa portion aux filles;-1452; Antiquité biblique; Antiquité;" ""alleguer les filles de **Salphaad** qui vindrent à succeder à la portion d'heritage [58]"""
Discours politiques (1578); Ehud et Eglon servent de comparaison;-1336; Antiquité biblique; Antiquité;" ""Mais s'il se trouvoit un **Ehud** & un **Eglon**, un Jehu & un Joram [82]"""
Discours politiques (1578); Debora et Barac président en Israël;-1209; Antiquité biblique; Antiquité;" ""On alleguera **Debora** en Israel... elle requit **Barac** de luy estre comme assesseur [56]"""
Discours politiques (1578); Samuel déclare Saul et David;-1063; Antiquité biblique; Antiquité;" ""il a donné **Saul** & **David** à son peuple comme le declaira **Samuel** [22]"""
Discours politiques (1578); Chusay prononce une sentence sur l'élection;-1023; Antiquité biblique; Antiquité;" ""La sentence de **Chusai** aura lieu... je demeureray avec celuy que l'Eternel & le peuple auront esleu [23]"""
Discours politiques (1578); Isboseth meurt par l'iniquité des siens;-1005; Antiquité biblique; Antiquité;" ""comme **David** punit pour cela l'iniquité de ceux qui tuerent **Isboseth** [83]"""
Discours politiques (1578); David épargne Joab et Semei;-970; Antiquité biblique; Antiquité;" ""suivant en cela l'exemple de **David** qui n'exerça sur **Joab** & sur **Semei** la punition [66]"""
Discours politiques (1578); Saba et Salomon traitent du jugement;-950; Antiquité biblique; Antiquité;" ""comme disoit la Royne de **Saba** au mesme Roy (**Salomon**) en faisant jugement & justice [36]"""
